BlueHist,GreenHist,RedHist
0.0,0.0,0.0
0.002291357262715297,0.002082634300986937,0.002214053453576236
0.004690724632090575,0.0046010791131063265,0.00464025488615368
0.007255964665265107,0.007096383544103638,0.007170601690240808
0.0096514745308311,0.009865515818378861,0.009789664921910258
0.012205142052577778,0.012592224060596945,0.01218500846663298
0.01487067718479372,0.015284221731131913,0.014896645361866594
0.017401199683684688,0.01761368676408767,0.017527280301481565
0.020116882365421335,0.020367392117614843,0.0202312027247515
0.023179740389993635,0.023348644552175776,0.02321670337469576
0.025798985476498157,0.02616020085850814,0.02584733831431073
0.02837965552490983,0.028551373574456106,0.028516545613744105
0.031052905664744345,0.031231801054430033,0.031212753565050357
0.03355256813316103,0.03383895066085072,0.0336968135373554
0.03607537562443343,0.03670064445961425,0.036196302453587806
0.03867147568808224,0.03904553641331806,0.03884622357311198
0.04132543830887033,0.041648829289551735,0.041588718356200316
0.04395239840299342,0.044429531754388,0.04420778158786976
0.04706154647327714,0.04781188412839826,0.047417001924760754
0.049796516674060216,0.0504036068140709,0.050028350684466524
0.05246976681389473,0.053354005407135724,0.05280941782737326
0.05511987193087353,0.05630440400020055,0.055347479103424066
0.05774683202499663,0.059127530497093954,0.0580128291668756
0.06035450460007329,0.06158812435640815,0.06065503581443609
0.06304704225895423,0.06440353739292753,0.06332424311386946
0.06564314232260304,0.06699140334841315,0.06581601755813819
0.06816209231006616,0.06972196832081824,0.06849293932953524
0.07085077246513781,0.07221341602162855,0.07120457622476886
0.07403321310779794,0.07546463956928037,0.07448322680933296
0.07673346577429745,0.07798694111158677,0.07705600320922033
0.07939514340270411,0.08081006760848018,0.07971363880070818
0.08216097363396146,0.08319352686405412,0.08245999081977837
0.08486122630046097,0.08582381685159687,0.08521791454679406
0.08766563156981118,0.08864308661830327,0.08780611989060878
0.09032345169440854,0.09145849965482265,0.09060647321342473
0.09303527687233591,0.09403093868956022,0.09342225548016803
0.09572781453121684,0.0968463517260796,0.09629975352262075
0.0990066927691091,0.10013614257560155,0.09933925547631078
0.10174166296989218,0.10275100564239627,0.10215889497903592
0.10454992574305168,0.10524631007339358,0.10500939236961578
0.10728103844002546,0.10800001542692075,0.10784060358028644
0.11000443612938068,0.1106573025257726,0.11040566550821013
0.11274712133778232,0.11346885883210496,0.11312115963942558
0.11545894651570969,0.11597187672347631,0.11584436824260472
0.1181553416783999,0.11874100899775153,0.11869486563318457
0.12105232703917296,0.12141372301735143,0.12121749796530802
0.12365228460663105,0.12426770335574093,0.12387127632081403
0.12684629776071904,0.12715639426581357,0.12704578153386847
0.12969699307578067,0.12984839193634853,0.12986927827257544
0.132543830887033,0.1326599482426809,0.13265420265146402
0.1354022412097132,0.13552935550181844,0.13546612768222546
0.13827608154763052,0.13814807529880016,0.13829733889289614
0.1411692094045943,0.14105604985980785,0.1411015494516939
0.1439466121472795,0.14409515324717398,0.1439481896062919
0.14678959245472256,0.14679486437808298,0.14673697122116233
0.14957856770883562,0.14955242646179717,0.14958361137576034
0.1527185758095936,0.15296948940749053,0.1528352613084516
0.15549212104846954,0.1559237447307424,0.15562790015930383
0.1583582463787683,0.1584499030032358,0.15847068307792003
0.16106235654907708,0.16132316699256036,0.1612170350969902
0.16388604933747372,0.1639727406310382,0.16384381280062332
0.16655929947730824,0.1668537180807368,0.1666094509996027
0.16936370474665843,0.16938373308341723,0.1694329477383097
0.1722066850541015,0.172017879801147,0.1723065885447806
0.17502266283487955,0.17503769953757806,0.17494879519234108
0.17770362798233263,0.17804980581363508,0.17770286168337493
0.18090149864022992,0.18109276593118823,0.1809313682001751
0.18369818890196155,0.1840045972223829,0.18373943599495474
0.18647559164464675,0.18698970638713086,0.18646264459813386
0.18934943198256407,0.1897626953915931,0.1893092847527319
0.19215769475572358,0.19221171906034626,0.19219835450313014
0.1949312399945995,0.19521225514584226,0.1950102795338916
0.19778965031727969,0.19797367395974344,0.19776434602492546
0.20051690551044418,0.20090864563206023,0.20049526910006826
0.2034023183597894,0.2033923798724965,0.20342291121028494
0.20676606168148592,0.20674773513519767,0.20680956440234058
0.20943159681370185,0.20953615106040796,0.20950191511766497
0.21224371709067064,0.21255982752702604,0.21222898095682596
0.21500568981811868,0.21502813484671426,0.21503319151562372
0.21802225779697956,0.2177664132794934,0.21794926191789488
0.22077265801299978,0.22085565415929068,0.22072261458883793
0.22358092078615927,0.22386004697497366,0.22366568564298195
0.2265087661774066,0.22655590137569565,0.22644289554990685
0.2294211815534168,0.22955258073100465,0.22933582253628695
0.23226801936466912,0.2324528418316383,0.2321168896791937
0.23551218006827782,0.23588918842826676,0.23558454482686797
0.23845545547476227,0.23834978228758094,0.23847361457726624
0.24125214573649392,0.24132332126176784,0.2412585389561548
0.24398325843346771,0.2441927285209054,0.2439586041434429
0.24689181630566862,0.24725882901958063,0.24687467454571405
0.2496460740254981,0.24985826516562729,0.24989489031949486
0.25268578702721467,0.25276238299644793,0.25280710348578417
0.2555634848689413,0.25568578447820367,0.25559588510065456
0.25849518776399794,0.25870174748444774,0.2585196699748894
0.26185893108569447,0.26167914318882163,0.2619526099987271
0.26477134646170464,0.26452926679702415,0.26487639487296194
0.2676104692653384,0.26774192304280586,0.2675803172962319
0.27045344957278145,0.27077716969998494,0.27044238639475726
0.27335429243736376,0.27344988371958484,0.27338545744890125
0.2763168553628947,0.27657383517106526,0.27619738247966275
0.2790904006017706,0.27962836547917946,0.2791288818258612
0.28206067853492006,0.28250548619869104,0.28211823971178734
0.2851042490404459,0.28510492234473767,0.2851075975977134
0.28865315254498813,0.28863768719604144,0.2885868244533332
0.2915655679209983,0.29149166753443095,0.2914951803836407
0.2943815457017764,0.29455391130291914,0.29457711193313096
0.2973363936196887,0.29729218973569826,0.2975626125830752
0.30041082415568887,0.30028886909100727,0.30050568363721925
0.3032846644936062,0.3032701215255682,0.30324432118432576
0.30625108492294634,0.30633622202424343,0.30616039158659686
0.3091712153065751,0.308916374519355,0.3092230369561779
0.312079773178776,0.3117703548577445,0.31211982117853987
0.31492661099002833,0.31499843802427424,0.31493560344528315
0.3184292244488591,0.3186893288132456,0.3184688316046487
0.321472794954385,0.32148160146864285,0.3214697611985204
0.3244353578799159,0.32460940965031027,0.3244128322526644
0.3273979208054468,0.32782592262627896,0.32731347371100816
0.3304607788300191,0.33078789140990483,0.3302989743609524
0.33341948425174067,0.33348374581062684,0.33333461907866063
0.3364167647115551,0.33656912996023713,0.33630083354869567
0.3392828900418539,0.3394925314419929,0.3391050441074934
0.3423264605473798,0.3426203396236603,0.34211368817332877
0.34589079406715917,0.34591784393355623,0.34585134983973187
0.34894979458792214,0.3489916578926055,0.3487172761742391
0.3520820876810616,0.352134892995021,0.35176063536391095
0.3551256581865875,0.35523184733519225,0.3549004254531288
0.3581808012035412,0.3579084180849792,0.3580787879021651
0.36130923679287136,0.360854959947857,0.3611568622156735
0.3643605223060158,0.36410618349550883,0.364111504977763
0.3672690801782167,0.36726098878848534,0.36718957929127144
0.3703743707446911,0.370168963349493,0.37030236872861644
0.3733677937006963,0.3734973215008851,0.3732107246589239
0.3769398422280942,0.3772962007350928,0.3766398074467798
0.37991397766505297,0.3802427425979706,0.379795026479925
0.3829382606515324,0.383069725825051,0.38297338892896127
0.38627114394275464,0.3862553849595236,0.3860128908826513
0.38938029201303836,0.38932919891857287,0.3891063941400871
0.39240071749570854,0.3925804224662247,0.3922847565891234
0.39551372306980154,0.39532255762919083,0.3954284039143231
0.3987077362238895,0.3985853513674037,0.3986684821390688
0.4018168842941732,0.4017748672320633,0.40148040716983024
0.4054082203406176,0.40559688684739303,0.4051409241165965
0.408432503327097,0.40826960086699293,0.4082151411941231
0.41150693386309717,0.41135112828641623,0.4113279306314681
0.4146469419638552,0.41472191046986545,0.4144754351926497
0.4177792350569946,0.41806569554200557,0.41758051015803094
0.4210041082415569,0.42096595664263925,0.42083987456268585
0.4242984164946863,0.42421332346010404,0.4239950935958311
0.42736513202306786,0.42751082777000005,0.427061596201394
0.43042799004764015,0.43075433785727785,0.4304521066294315
0.4335602831407796,0.43365459895791153,0.4336420407864133
0.4372441992786468,0.43741105416006204,0.43713669658596044
0.4404652149593998,0.4404617277379892,0.44017619853965045
0.44369008814396205,0.44387493395349553,0.44327741626904993
0.44684552625995716,0.44675591140319415,0.4466486405171782
0.4500125368873802,0.45012669358664337,0.44988100426996025
0.4532759851100353,0.45326992868905885,0.45302850883114176
0.4565432908364997,0.4567062752856873,0.45639973307927006
0.4599841842343819,0.4595332585127677,0.4596436685399976
0.46312804983894923,0.4627189176472403,0.46287988952876147
0.4668389685034814,0.46665663916818045,0.4664941196437457
0.46992882905471867,0.4700814155742478,0.4697611985203643
0.4732964298802245,0.47317065645404516,0.4730089912170737
0.4764865855305032,0.47669185111478785,0.4762490694418194
0.47964202364649833,0.4801281977114163,0.479516148318438
0.4829980519605763,0.4833717077986941,0.4828140850829113
0.48637722529751,0.4863143929313849,0.4861467369712212
0.4898104036877736,0.4898240174015666,0.4894871033314947
0.4931780045132795,0.49301738999641326,0.4926307506566944
0.4963835901787953,0.49646530678360273,0.4959325446571496
0.5002410939880804,0.4998862264594831,0.49982063852684444
0.5035585472640655,0.5033379999768596,0.5032844364385368
0.5066908403572049,0.5066933552395608,0.5063663679880271
0.5100507261750921,0.5102338335512386,0.5095254442571542
0.5134067544891701,0.5131996590650515,0.5130008138767922
0.5167049202461087,0.5164740229938254,0.5164993269123211
